Id	FirstName	LastName	Surname	Birthday	Phone	Status
1	Бунин	Иван	Алексеевич	1870	79111111111	Ученик
2	Куприн	Александр	Иванович	1870	79111111112	Ученик
3	Арсеньев	Владимир	Клавдиевич	1872	79111111113	Ученик
4	Пришвин	Михаил	Михайлович	1873	79111111114	Ученик
5	Шмелёв	Иван	Сергеевич	1873	79111111115	Ученик
6	Новиков-Прибой	Алексей	Силыч	1877	79111111116	Ученик
7	Толстой	Алексей	Николаевич	1883	79111111117	Ученик
8	Замятин	Евгений	Иванович	1884	79111111118	Ученик
9	Булгаков	Михаил	Афанасьевич	1891	79111111119	Учитель
10	Эренбург	Илья́	Григорьевич	1891	79111111120	Ученик
11	Адамович	Георгий	Викторович	1892	79111111121	Ученик
12	Добычин	Леонид	Иванович	1894	79111111122	Ученик
13	Бабель	Исаак	Эммануилович	1894	79111111123	Ученик
14	Пильня́к	Борис	Андреевич	1894	79111111124	Ученик
15	Тыня́нов	Ю́рий	Николаевич	1894	79111111125	Ученик
16	Зощенко	Михаил	Михайлович	1894	79111111126	Ученик
17	Иванов	Всеволод	Вячеславович	1895	79111111127	Ученик
18	Катаев	Валентин	Петрович	1897	79111111128	Учитель
19	Набоков	Владимир	Владимирович	1899	79111111129	Ученик
20	Олеша	Ю́рий	Карлович	1899	79111111130	Ученик
21	Фадеев	Александр	Александрович	1901	79111111131	Ученик
22	Островский	Николай	Алексеевич	1904	79111111132	Ученик
23	Гайдар	Аркадий	Петрович	1904	79111111133	Ученик
24	Хармс	Даниил	Иванович	1905	79111111134	Ученик
25	Шолохов	Михаил	Александрович	1905	79111111135	Ученик
26	Паустовский	Константин	Георгиевич	1892	79111111136	Ученик
27	Соколов-Микитов	Иван	Сергеевич	1892	79111111137	Учитель
28	Бианки	Виталий	Валентинович	1894	79111111138	Ученик
29	Шпанов	Николай	Николаевич	1896	79111111139	Ученик
30	Катаев	Валентин	Петрович	1897	79111111140	Ученик
31	Леонов	Леонид	Максимович	1899	79111111141	Ученик
32	Фадеев	Александр	Александрович	1901	79111111142	Ученик
33	Каверин	Вениамин	Александрович	1902	79111111143	Ученик
34	Газданов	Гайто	Георгий	1903	79111111144	Ученик
35	Симонов	Константин	Кирилл	1915	79111111145	Ученик
36	Гроссман	Василий	Семёнович	1905	79111111146	Ученик
37	Полевой	Борис	Николаевич	1908	79111111147	Учитель
38	Домбровский	Ю́рий	Осипович	1909	79111111148	Ученик
39	Герман	Ю́рий	Георгий	1910	79111111149	Ученик
40	Некрасов	Виктор	Платонович	1911	79111111150	Ученик
41	Рыбаков	Анатолий	Наумович	1911	79111111151	Ученик
42	Казакевич	Эммануил	Генрихович	1913	79111111152	Ученик
43	Залыгин	Сергей	Павлович	1913	79111111153	Ученик
44	Ажаев	Василий	Николаевич	1915	79111111154	Ученик
45	Дудинцев	Владимир	Дмитриевич	1918	79111111155	Ученик
46	Солженицын	Александр	Исаевич	1918	79111111156	Учитель
47	Воробьёв	Константин	Дмитриевич	1919	79111111157	Ученик
48	Гранин	Даниил	Александрович	1919	79111111158	Ученик
49	Абрамов	Фёдор	Александрович	1920	79111111159	Ученик
50	Кондратьев	Вячеслав	Леонидович	1920	79111111160	Ученик
51	Нагибин	Ю́рий	Маркович	1920	79111111161	Ученик
52	Курочкин	Виктор	Александрович	1923	79111111162	Ученик
53	Тендряков	Владимир	Фёдорович	1923	79111111163	Ученик
54	Можаев	Борис	Андреевич	1923	79111111164	Ученик
55	Бакланов	Григорий	Я́ковлевич	1923	79111111165	Учитель
56	Астафьев	Виктор	Петрович	1924	79111111166	Ученик
57	Быков	Василь	Владимирович	1924	79111111167	Ученик
58	Богомолов	Владимир	Осипович	1924	79111111168	Ученик
59	Васильев	Борис	Львович	1924	79111111169	Ученик
60	Бондарев	Ю́рий	Васильевич	1924	79111111170	Ученик
61	Трифонов	Ю́рий	Валентинович	1925	79111111171	Ученик
62	Носов	Евгений	Иванович	1925	79111111172	Ученик
63	Липатов	Виль	Владимирович	1927	79111111173	Ученик
64	Адамович	Александр	Алесь	1927	79111111174	Ученик
65	Рекемчук	Александр	Евсеевич	1927	79111111175	Учитель
66	Чивилихин	Владимир	Алексеевич	1928	79111111176	Ученик
67	Айтматов	Чингиз	Торекулович	1928	79111111177	Ученик
68	Пикуль	Валентин	Саввич	1928	79111111178	Ученик
69	Кузнецов	Анатолий	Васильевич	1929	79111111179	Ученик
70	Шукшин	Василий	Макарович	1929	79111111180	Ученик
71	Искандер	Фазиль	Абдулович	1929	79111111181	Ученик
72	Семёнов	Юлиан	Семёнович	1931	79111111182	Ученик
73	Владимов	Георгий	Николаевич	1931	79111111183	Ученик
74	Приставкин	Анатолий	Игнатьевич	1931	79111111184	Учитель
75	Мамлеев	Ю́рий	Витальевич	1931	79111111185	Ученик
76	Аксёнов	Василий	Павлович	1932	79111111186	Ученик
77	Белов	Василий	Иванович	1932	79111111187	Ученик
78	Войнович	Владимир	Николаевич	1932	79111111188	Ученик
79	Орлов	Владимир	Викторович	1936	79111111189	Ученик
80	Распутин	Валентин	Григорьевич	1937	79111111190	Ученик
81	Маканин	Владимир	Семёнович	1937	79111111191	Ученик
82	Битов	Андрей	Георгиевич	1937	79111111192	Ученик
83	Токарева	Виктория	Самойловна	1937	79111111193	Учитель
84	Ерофеев	Венедикт	Васильевич	1938	79111111194	Ученик
85	Довлатов	Сергей	Донатович	1941	79111111195	Ученик
86	Крупин	Владимир	Николаевич	1941	79111111196	Ученик
87	Лимонов	Эдуард	Вениаминович	1943	79111111197	Ученик
88	Алексиевич	Светлана	Александровна	1948	79111111198	Ученик
89	Толстая	Татья́на	Никитична	1951	79111111199	Ученик
90	Поляков	Ю́рий	Михайлович	1954	79111111200	Ученик
