id;Фамилия;Имя;Отчество;Год рождения;Телефон;Статус
1111;Бунин;Иван;Алексеевич;1870;79111111111;Ученик
1112;Куприн;Александр;Иванович;1870;79111111112;Ученик
1113;Арсеньев;Владимир;Клавдиевич;1872;79111111113;Ученик
1114;Пришвин;Михаил;Михайлович;1873;79111111114;Ученик
1115;Шмелёв;Иван;Сергеевич;1873;79111111115;Ученик
1116;Новиков-Прибой;Алексей;Силыч;1877;79111111116;Ученик
1117;Толстой;Алексей;Николаевич;1883;79111111117;Ученик
1118;Замятин;Евгений;Иванович;1884;79111111118;Ученик
1119;Булгаков;Михаил;Афанасьевич;1891;79111111119;Учитель
1120;Эренбург;Илья́;Григорьевич;1891;79111111120;Ученик
1121;Адамович;Георгий;Викторович;1892;79111111121;Ученик
1122;Добычин;Леонид;Иванович;1894;79111111122;Ученик
1123;Бабель;Исаак;Эммануилович;1894;79111111123;Ученик
1124;Пильня́к;Борис;Андреевич;1894;79111111124;Ученик
1125;Тыня́нов;Ю́рий;Николаевич;1894;79111111125;Ученик
1126;Зощенко;Михаил;Михайлович;1894;79111111126;Ученик
1127;Иванов;Всеволод;Вячеславович;1895;79111111127;Ученик
1128;Катаев;Валентин;Петрович;1897;79111111128;Учитель
1129;Набоков;Владимир;Владимирович;1899;79111111129;Ученик
1130;Олеша;Ю́рий;Карлович;1899;79111111130;Ученик
1131;Фадеев;Александр;Александрович;1901;79111111131;Ученик
1132;Островский;Николай;Алексеевич;1904;79111111132;Ученик
1133;Гайдар;Аркадий;Петрович;1904;79111111133;Ученик
1134;Хармс;Даниил;Иванович;1905;79111111134;Ученик
1135;Шолохов;Михаил;Александрович;1905;79111111135;Ученик
1136;Паустовский;Константин;Георгиевич;1892;79111111136;Ученик
1137;Соколов-Микитов;Иван;Сергеевич;1892;79111111137;Учитель
1138;Бианки;Виталий;Валентинович;1894;79111111138;Ученик
1139;Шпанов;Николай;Николаевич;1896;79111111139;Ученик
1140;Катаев;Валентин;Петрович;1897;79111111140;Ученик
1141;Леонов;Леонид;Максимович;1899;79111111141;Ученик
1142;Фадеев;Александр;Александрович;1901;79111111142;Ученик
1143;Каверин;Вениамин;Александрович;1902;79111111143;Ученик
1144;Газданов;Гайто;Георгий;1903;79111111144;Ученик
1145;Симонов;Константин;Кирилл;1915;79111111145;Ученик
1146;Гроссман;Василий;Семёнович;1905;79111111146;Ученик
1147;Полевой;Борис;Николаевич;1908;79111111147;Учитель
1148;Домбровский;Ю́рий;Осипович;1909;79111111148;Ученик
1149;Герман;Ю́рий;Георгий;1910;79111111149;Ученик
1150;Некрасов;Виктор;Платонович;1911;79111111150;Ученик
1151;Рыбаков;Анатолий;Наумович;1911;79111111151;Ученик
1152;Казакевич;Эммануил;Генрихович;1913;79111111152;Ученик
1153;Залыгин;Сергей;Павлович;1913;79111111153;Ученик
1154;Ажаев;Василий;Николаевич;1915;79111111154;Ученик
1155;Дудинцев;Владимир;Дмитриевич;1918;79111111155;Ученик
1156;Солженицын;Александр;Исаевич;1918;79111111156;Учитель
1157;Воробьёв;Константин;Дмитриевич;1919;79111111157;Ученик
1158;Гранин;Даниил;Александрович;1919;79111111158;Ученик
1159;Абрамов;Фёдор;Александрович;1920;79111111159;Ученик
1160;Кондратьев;Вячеслав;Леонидович;1920;79111111160;Ученик
1161;Нагибин;Ю́рий;Маркович;1920;79111111161;Ученик
1162;Курочкин;Виктор;Александрович;1923;79111111162;Ученик
1163;Тендряков;Владимир;Фёдорович;1923;79111111163;Ученик
1164;Можаев;Борис;Андреевич;1923;79111111164;Ученик
1165;Бакланов;Григорий;Я́ковлевич;1923;79111111165;Учитель
1166;Астафьев;Виктор;Петрович;1924;79111111166;Ученик
1167;Быков;Василь;Владимирович;1924;79111111167;Ученик
1168;Богомолов;Владимир;Осипович;1924;79111111168;Ученик
1169;Васильев;Борис;Львович;1924;79111111169;Ученик
1170;Бондарев;Ю́рий;Васильевич;1924;79111111170;Ученик
1171;Трифонов;Ю́рий;Валентинович;1925;79111111171;Ученик
1172;Носов;Евгений;Иванович;1925;79111111172;Ученик
1173;Липатов;Виль;Владимирович;1927;79111111173;Ученик
1174;Адамович;Александр;Алесь;1927;79111111174;Ученик
1175;Рекемчук;Александр;Евсеевич;1927;79111111175;Учитель
1176;Чивилихин;Владимир;Алексеевич;1928;79111111176;Ученик
1177;Айтматов;Чингиз;Торекулович;1928;79111111177;Ученик
1178;Пикуль;Валентин;Саввич;1928;79111111178;Ученик
1179;Кузнецов;Анатолий;Васильевич;1929;79111111179;Ученик
1180;Шукшин;Василий;Макарович;1929;79111111180;Ученик
1181;Искандер;Фазиль;Абдулович;1929;79111111181;Ученик
1182;Семёнов;Юлиан;Семёнович;1931;79111111182;Ученик
1183;Владимов;Георгий;Николаевич;1931;79111111183;Ученик
1184;Приставкин;Анатолий;Игнатьевич;1931;79111111184;Учитель
1185;Мамлеев;Ю́рий;Витальевич;1931;79111111185;Ученик
1186;Аксёнов;Василий;Павлович;1932;79111111186;Ученик
1187;Белов;Василий;Иванович;1932;79111111187;Ученик
1188;Войнович;Владимир;Николаевич;1932;79111111188;Ученик
1189;Орлов;Владимир;Викторович;1936;79111111189;Ученик
1190;Распутин;Валентин;Григорьевич;1937;79111111190;Ученик
1191;Маканин;Владимир;Семёнович;1937;79111111191;Ученик
1192;Битов ;Андрей;Георгиевич;1937;79111111192;Ученик
1193;Токарева;Виктория;Самойловна;1937;79111111193;Учитель
1194;Ерофеев;Венедикт;Васильевич;1938;79111111194;Ученик
1195;Довлатов;Сергей;Донатович;1941;79111111195;Ученик
1196;Крупин;Владимир;Николаевич;1941;79111111196;Ученик
1197;Лимонов;Эдуард;Вениаминович;1943;79111111197;Ученик
1198;Алексиевич;Светлана;Александровна;1948;79111111198;Ученик
1199;Толстая;Татья́на;Никитична;1951;79111111199;Ученик
1200;Поляков;Ю́рий;Михайлович;1954;79111111200;Ученик
1201;Бунин1;Иван1;Алексеевич1;1870;79111111111;Ученик
1202;Пильня́к1;Борис1;Андреевич1;1894;79111111124;Ученик
1203;Тыня́нов1;Ю́рий1;Николаевич1;1894;79111111125;Ученик
1204;Бунин;Иван;Алексеевич;1870;79111111111;Ученик
1205;Куприн;Александр;Иванович;1870;79111111112;Ученик
1206;Арсеньев;Владимир;Клавдиевич;1872;79111111113;Ученик
1207;Пришвин;Михаил;Михайлович;1873;79111111114;Ученик
1208;Шмелёв;Иван;Сергеевич;1873;79111111115;Ученик
1209;Новиков-Прибой;Алексей;Силыч;1877;79111111116;Ученик
1210;Толстой;Алексей;Николаевич;1883;79111111117;Ученик
1211;Замятин;Евгений;Иванович;1884;79111111118;Ученик
1212;Булгаков;Михаил;Афанасьевич;1891;79111111119;Учитель
1213;Эренбург;Илья́;Григорьевич;1891;79111111120;Ученик
1214;Адамович;Георгий;Викторович;1892;79111111121;Ученик
1215;Добычин;Леонид;Иванович;1894;79111111122;Ученик
1216;Бабель;Исаак;Эммануилович;1894;79111111123;Ученик
1217;Пильня́к;Борис;Андреевич;1894;79111111124;Ученик
1218;Тыня́нов;Ю́рий;Николаевич;1894;79111111125;Ученик
1219;Зощенко;Михаил;Михайлович;1894;79111111126;Ученик
1220;Иванов;Всеволод;Вячеславович;1895;79111111127;Ученик
1221;Катаев;Валентин;Петрович;1897;79111111128;Учитель
1222;Набоков;Владимир;Владимирович;1899;79111111129;Ученик
1223;Олеша;Ю́рий;Карлович;1899;79111111130;Ученик
1224;Фадеев;Александр;Александрович;1901;79111111131;Ученик
1225;Островский;Николай;Алексеевич;1904;79111111132;Ученик
1226;Гайдар;Аркадий;Петрович;1904;79111111133;Ученик
1227;Хармс;Даниил;Иванович;1905;79111111134;Ученик
1228;Шолохов;Михаил;Александрович;1905;79111111135;Ученик
1229;Паустовский;Константин;Георгиевич;1892;79111111136;Ученик
1230;Соколов-Микитов;Иван;Сергеевич;1892;79111111137;Учитель
1231;Бианки;Виталий;Валентинович;1894;79111111138;Ученик
1232;Шпанов;Николай;Николаевич;1896;79111111139;Ученик
1233;Катаев;Валентин;Петрович;1897;79111111140;Ученик
1234;Леонов;Леонид;Максимович;1899;79111111141;Ученик
1235;Фадеев;Александр;Александрович;1901;79111111142;Ученик
1236;Каверин;Вениамин;Александрович;1902;79111111143;Ученик
1237;Газданов;Гайто;Георгий;1903;79111111144;Ученик
1238;Симонов;Константин;Кирилл;1915;79111111145;Ученик
1239;Гроссман;Василий;Семёнович;1905;79111111146;Ученик
1240;Полевой;Борис;Николаевич;1908;79111111147;Учитель
1241;Домбровский;Ю́рий;Осипович;1909;79111111148;Ученик
1242;Герман;Ю́рий;Георгий;1910;79111111149;Ученик
1243;Некрасов;Виктор;Платонович;1911;79111111150;Ученик
1244;Рыбаков;Анатолий;Наумович;1911;79111111151;Ученик
1245;Казакевич;Эммануил;Генрихович;1913;79111111152;Ученик
1246;Залыгин;Сергей;Павлович;1913;79111111153;Ученик
1247;Ажаев;Василий;Николаевич;1915;79111111154;Ученик
